,Country,Nationality,Address,Phone,Fax,Email,Website,Office Type,City,Office Hours,Details
"Icelandic Embassy in New Delhi, India",Iceland,Icelandic,"10, Munirka Marg, New Delhi 110057, India",(+91) 11-4353 0300,(+91) 11-4240 3001,Lemb.newdelhi@mfa.is,www.iceland.is/iceland-abroad/in/,Embassy,New Delhi,,"Mr Gudmundur Eiriksson, Ambassador"
"Irish Consulate in Bangalore, India",Ireland,Irish,"Biocon Limited, 20th K M Hosur Road, Electronics City PO, 560 100",+91 80 2808 2006/2808,+91 80 2852 3423,kiran.mazumdar@bioconindia.com,http://www.embassyofireland.in/home/index.aspx?id=52434,Consulate,Bangalore,"9.00am - 1.00pm Monday to Friday
2.00pm - 4.00pm Monday to Friday","Honorary Consul: Dr Kiran Mazumdar-Shaw
Assistant to Honorary Consul:  Ms Monica Robinson"
"Irish Consulate in Mumbai, India",Ireland,Irish,"Kamanwalla Chambers, 2nd Floor, Sir P.M. Road, Fort, 400 001","+91 22 6635 5635, 6633 9717",+91 22 5639 1945,irishcongen@vsnl.net,http://www.embassyofireland.in/home/index.aspx?id=52434,Consulate,Mumbai,"9.30am - 1.00pm Monday to Friday
2.00pm - 4.00pm Monday to Friday",Honorary Consul General: Cyrus Guzdar
"Irish Embassy in New Delhi, India",Ireland,Irish,"230 Jor Bagh, 110003","+91-11-2462-6733, Visa Tel: Visa Tel: +91 11 2462 9135(between the hours of 14.30 to 17.00, Monday t","+91-11-2469-7053, Visa Fax: +91 11 2460 3335",newdelhiembassy@dfa.ie,http://www.embassyofireland.in,Embassy,New Delhi,"Monday to Friday 9.30am to 1.30pm, 2.30pm to 5pm.","Ambassador: His Excellency Kenneth Thompson 
First Secretary: Ms Lavina Collins 
Third Secretary: Mr Brian O'Brien  


The Embassy of Ireland in New Delhi is also accredited to Sri Lanka, Bangladesh and Nepal and works closely with the Honorary Consulate in Colombo, Sri Lanka."
"Italian Consulate in Calcutta (Bengala Occidentale), India",Italy,Italian,"3, Raja Santosh Road - Calcutta 700027",00913324792414,24793892,consolatogenerale.calcutta@esteri.it,http://www.conscalcutta.esteri.it,Consulate,Calcutta (Bengala occidentale),,
"Italian Consulate in Calcutta, India",Italy,Italian,"3, Raja Santosh Road - Calcutta 700027",00913324792414,24793892,consolatogenerale.calcutta@esteri.it,http://www.conscalcutta.esteri.it,Consulate,Calcutta,,
Italian Consulate in India,Italy,Italian,"Kanchanjunga Building, 72 G. Deshmukh Road, Mumbai 400 026",00912223804071,0091 22 23874074,daphne.towry-coker@aco.org,http://http://www.consmumbai.esteri.it,Consulate,,,Visa query see below
"Italian Embassy in New Delhi, India",Italy,Italian,"50-E, Chandragupta Marg, Chanakyapuri, New Delhi-110 021, India",+91 11 2611 4355,+91 11 2687 3889,visti.ambnewdelhi@esteri.it,http://www.ambnewdelhi.esteri.it,Embassy,New Delhi,"(Mon-Thu) 09.00-13.00/14.00-18.00, Friday: 09.00-13.00",
"Ivorian Embassy in New Delhi, India",Côte d'Ivoire,Ivorian,"63, Poorvi Marg, Vasant Vihar, New Delhi 1100057, India",(+91) 11 4170 4234 / 35,(+91) 11 4170 4236,"embassy@amb2ci-inde.org, amb2ci_inde@yahoo.fr",www.amb2ci-inde.org,Embassy,New Delhi,,"Mr Sainy Tiemele, Ambassador"
"Jamaican Consulate in New Delhi, India",Jamaica,Jamaican,"Meridien Tower, 9th Floor, 10 Windsor Place, 110 001",2335 5411/2341 7122,011 2335 5432/2341 6275,Khemka@del3.vsnl.net.in,,Consulate,New Delhi,,HONORARY CONSUL: MR NAND KHEMKA
"Japanese Consulate in Bangalore, India",Japan,Japanese,"Consular Office of Japan, 1st Floor,  Prestige Nebula, No. 8-14, Cubbon Road, 560001","(91-80) 4064-9999, 4166-0111 to 3",(91-80) 4166-0114,,,Consulate,Bangalore,,
"Japanese Consulate in Chennai, India",Japan,Japanese,"No.12/1, Cenetoph Road Ist Street, Teynampet, 600 018",(91-44)2432-3860~3,(91-44)2432-3859,,,Consulate,Chennai,,
Japanese Consulate in India,Japan,Japanese,"55, M.N. Sen Lane, Tollygunge, 700 040",+91-33-2421-1970,+91-33-2421-1971,OVERSEAS@JPN-EMB.TOKYO,,Consulate,,,
"Japanese Consulate in Mumbai, India",Japan,Japanese,"No.1, M.L. Dahanukar Marg, Cumballa Hill, 400 026",+91-22-2351-7101,+91-22-2351-7120,,,Consulate,Mumbai,,
Japanese Embassy in India,Japan,Japanese,"50-G, Chanakyapuri, 110021","(+91-11) 2687-6564, 2687-6581",(+91-11) 2688-5587,Overseas@jpn-emb.tokyo,http://https://jp.usembassy.gov,Embassy,,"Office Hours:
09:00 - 13:00 / 14:30 - 17:30 (Monday - Friday)
 
(Closed on Saturdays, Sundays & Public Holidays)",
"Jordanian Embassy in New Delhi, India",Jordan,Jordanian,"30 Golf Links, New Delhi - 110003",24653318 - 246533099,2-465-3353/2-465-3368,jordan@jordanembassyindia.org,http://www.jordanembassyindia.org,Embassy,New Delhi,,
"Kenyan Consulate in New Delhi, India",Kenya,Kenyan,"34, Paschimi Marg, Vasant Vhihar, New Delhi, 110057",+ 91 11 26146537/38/40,+ 91 11 26146550,info@kenyamission-delhi.com,http://www.kenyamission-delhi.com,Consulate,New Delhi,,"Other countries of Accreditation: Peoples Republic of Bangladesh, Sri Lanka, Singapore"
"Kiwi Consulate in Chennai, India",New Zealand,Kiwi,"Maithri, 132 Cathedral Road,, 600 086",+91-44-2811-2472,+91-44-2811-2449,l.ganesh@rane.co.in,,Consulate,Chennai,,Honorary Consul: L Ganesh
Kiwi Consulate in India,New Zealand,Kiwi,"Level 2, 3 North Avenue,, Maker Maxity, BKC, Bandra East,, 400 051, Mumbai, India",+91-11-42596300,+91 22 6770 9003,inzmumbai@ttsvisas.com / inzdelhi@ttsvisas.com,,Consulate,,"Monday to Friday
 08:30 - 17:00",Consul General and Trade Commissioner: Kevin Mckenna
"Kiwi Consulate in New Delhi, India",New Zealand,Kiwi,"Sir Edmund Hillary Marg, Chanakyapuri,, 110 021",+91-11-2688-3170,+91-11-2688-3165,nzhc@airtelmail.in,http://www.nzembassy.com/india,Consulate,New Delhi,Mon-Fri 08:30-17:00 hrs,High Commissioner: HE Jan Henderson
Korean Consulate in India,South Korea,Korean,"Chaitanya, Third Floor, Khader Nawaz Khan Road , Chennai 600006 India",(+91) 44-2823 7307,(+91) 44-2823 7307,vp@sci.co.in,,Consulate,,09.30-17.30,Mr. Venu Srinivasan - Honorary Consul
"Korean Consulate in Kolkata, India",South Korea,Korean,"c/o Nicco Corporation Ltd. Nico House, 2 Hare Street Kolkata 700, 001 India",(+91) 33 2248 8220,(+91) 33-2248 6414,rajivkaul@niccogroup.com,,Consulate,Kolkata,10.00-18.00,Mr Rajiv Kaul - Consul General
"Korean Consulate in Mumbai, India",South Korea,Korean,"Kanchanjunga Building, 9th floor 72, Pedder Road Mumbai 400, 026 India",(+91) 22-2388 6743 - 5,(+91) 22-2388 6765,mumbai@mofat.go.kr,,Consulate,Mumbai,,Seok-gu Jang - Consul General
"Korean Embassy in New Delhi, India",South Korea,Korean,"9 Chandragupta Marg, Chanakyapuri Extension, New Delhi 110021, India",(+91) 11-4200 7000,(+91) 11-2688 4840,india@mofat.go.kr,http://ind.mofat.go.kr ,Embassy,New Delhi,,Mr Kim Joong-Keun - Ambassador
"Kuwaiti Consulate in Mumbai, India",Kuwait,Kuwaiti,"120 Dinisha Wacha Road, Churchgate, Mombay 400020, India","(+91-22) 2873007, 2884179, 2871897",(+91-22) 2048180,nksrr@yahoo.com,,Consulate,Mumbai,,
"Kuwaiti Embassy in New Delhi, India",Kuwait,Kuwaiti,"5A Shanti Path, Chanakyapuri, New Delhi 110021",+91-11-2410 0791,+91-11-2687 3516,kuwaitembassy@mantraonline.com,,Embassy,New Delhi,,
"Latvian Consulate in New Delhi, India",Latvia,Latvian,"48/11, Malcha Marg, Chanakyapuri, New Delhi  110021",(91) 112 611 29 31,(91) 112 611 37 53,Latvia@pasco.co.in,,Consulate,New Delhi,,
"Lebanese Embassy in New Delhi, India",Lebanon,Lebanese,"H 1, Anand Niketan, Chanakyapuri","011 - 24110919, 24111415",011 - 24110818,grfadel@hotmail.com,,Embassy,New Delhi,09:00-13:00 and 14:00-16:30,
"Lesotho High Commission in New Delhi, India",Lesotho,Basotho,"E-26 Poorvi Marg, Vasant Vihar, New Delhi 110 057, India",(+91) 11 4166 0713 / 14 / 15,(+91) 11 2614 1636,lesothonewdelhi@gmail.com,,Embassy,New Delhi,09.00-16.30,"Ms Moleboheng G. Sehlabaka, Chargé d'Affaires a.i."
"Liberian Honorary Consulate in New Delhi, India",Liberia,Liberian,"The Roseate New Delhi, NH-8, Smalkha, New Delhi 110037, India",(+91) 11 3061 3488,,generalliberia.in,www.honconsulgeneralliberia.in,Consulate,New Delhi,,"Mr Ankur Bhatia, Honorary Consul"
"Libyan Embassy in New Delhi, India",Libya,Libyan,"22 Golf Link, New Delhi 110003 India",4697717 / 4697771,,,,Embassy,New Delhi,,
Liechtenstein (Swiss) Consulate in India,Liechtenstein,Liechtensteiner,,,,,,Consulate,,,Liechtenstein consulate services are represented by Switzerland
"Luxembourg Embassy in New Delhi, India",Luxembourg,Luxembourgish,"84, Jor Bagh, New Delhi 110003, India",(+91) 11 49 98 66 00,(+91) 11 41 52 52 01,newdelhi.amb@mae.etat.lu,newdelhi.mae.lu,Embassy,New Delhi,,"Mr Gaston Stronck, Ambassador"
"Malagasy Consulate in Mumbai, India",Madagascar,Malagasy,"Ismail Building, Flora Fountain, Mumbai 400 001, India",(+91) 22-2204 6735,(+91) 22-2204 4598,chandrakapadia@hotmail.com; madulat.mumbai@yahoo.in,,Consulate,Mumbai,10.30-17.30,
"Malagasy Consulate in New Delhi, India",Madagascar,Malagasy,"Mayfair Gardens Hauz Khas, Ground Floor, New Delhi - 110049, India",(+91) 11-4106 7741 / 2 / 3 / 7,(+91) 11-4106 7748,ambamad.delhi@gmail.com,http://http://madagascarembassyindia.in/,Consulate,New Delhi,10.00-16.00,
"Malawian High Commission in New Delhi, India",Malawi,Malawian,"C-6/11 Visant Vihar, New Delhi - 110057, India",(+91) 11 2670 6000,(+91) 11 2670 6010,"malawihcindia@gmail.com, mhcindiaconsular@gmail.com",www.malawi-india.org,Embassy,New Delhi,,"Mr George MkondiwaDr Perks M. Ligoya, High Commissioner"
"Malaysian Consulate in Chennai, India",Malaysia,Malaysian,"No.7, (Old No.3), Cenotaph Road, 1st Street, Teynampet, 600 018, Chennai",+091-44-24334434; +091-44-24334435; +091-44-24334436,+091-44-24334437,mwchennai@kln.gov.my,http://www.kln.gov.my/perwakilan/chennai,Consulate,Chennai,"Work days: Monday - Friday 9.00 a.m - 5.00 p.m
Public Holidays: Saturday & Sunday",
"Malaysian Consulate in Mumbai, India",Malaysia,Malaysian,"5th. Fl, Notan Classic, Building, 24th. Off Turner Road, Bandra (W), 400050, Maharastra, India",+91 22 2645 5751/52; +91 22 2645 5541; +91 99201 35131,+91 22 2645 5750,mwmumbai.kln@1govuc.gov.my,http://www.kln.gov.my/perwakilan/mumbai,Consulate,Mumbai,"Work days: Monday - Friday 8.30 a.m - 4.30 p.m
Public Holidays: Saturday, Sunday & Public Holidays (See Corporate Information in Main Menu)",
"Malaysian Consulate in New Delhi, India",Malaysia,Malaysian,"50-M, Satya Marg,, Chanakyapuri,, 110 021 - New Delhi",+91-11-24159300,+91-11-26881538,mwdelhi@kln.gov.my,http://www.kln.gov.my/perwakilan/newdelhi,Consulate,New Delhi,"Work day: Monday - Friday
8.30 a.m. - 4.30 p.m.

Holiday :	Saturday & Sunday",
"Maldivian Embassy in New Delhi, India",Maldives,Maldivian,"C-31 Anand Niketan, New Delhi 110021, India",(+91) 11-4143 5701 - 08,(+91) 11 4143 5709,admin@maldivesembassy.in,www.maldivesembassy.in,Embassy,New Delhi,09.00-13.00 and 14.00-16.00,"Ahmed Mohamed, Ambassador"
"Maltese Consulate in New Delhi, India",Malta,Maltese,"N60, Panchsheel Park, New Delhi 110 017, India",(+91) (11) 4767 4900,(+91) (11) 4767 4949,maltahighcommission.newdelhi@gov.mt,http://www.mfa.gov.mt/india,Consulate,New Delhi,Monday to Friday 9:00 To 17:30,
"Mauritian Consulate in Mumbai, India",Mauritius,Mauritian,"Mittal Tower C Office No 115, 11th Floor Nariman Point Mumbai 400021","(91-22) 22845127, (91-22) 22845466","(91-22) 22845469,(0091 22) 22845468",consul@bom3vsnl.net.in,,Consulate,Mumbai,,
"Mauritian Embassy in New Delhi, India",Mauritius,Mauritian,"5, Kautilya Marg Chanakyapuri, New Delhi 110021 India",+91 11 24102161 or +91 11 24102162,,mhcnd@bol.net.in,,Embassy,New Delhi,,
"Mexican Embassy in New Delhi, India",Mexico,Mexican,"C8 Anand Niketan, New Delhi 110021, India",(+91) 11 2411 7180,(+91) 11 2411 7193,contactoembind@sre.gob.mx; contactoconind@sre.gob.mx,http://http://embamex.sre.gob.mx/india/,Embassy,New Delhi,09.00-17.00,
"Monegasque Consulate in New Delhi, India",Monaco,Monegasque,"DLF Centre - Sandad Marg, 110001 New Delhi, India",+91.11.5150.2149,+91.11.4150.2153,Bhatia-vk@dlfgroup.in,,Consulate,New Delhi,,"M. Kushal Pal Singh, Honorary Consul"
Mongolian Embassy in India,Mongolia,Mongolian,"34, Archbishop Makarious Marg, New Delhi 110 003, India",(+91) 11-2463 1728; (+91) 11-2461 7989,(+91) 11-2463 3240,india@mfat.gov.mn,http://http://www.delhi.mfa.gov.mn/,Embassy,,08.30-13.00 and 13.30-17.00,"Mr Sanjaasuren Bayaraa, Ambassador"
"Montenegrin Honorary Consulate General in New Delhi, India",Montenegro,Montenegrin,"S 528, Greater Kailash Part 1, New Delhi 110048, India",(+91) 11 2923 8909,,janisdarbari1@yahoo.com,,Consulate,New Delhi,09.00-13.00,"Dr Janice Darbari, Honorary Consul General"
"Myanmar Embassy in New Delhi, India",Myanmar,Myanmar,"3/50 F, Nyayamarg, Chanakyapuri New Delhi 110021","(009111) 6889007, 6889008, 26889007",(009111) 6877942,myandeli@nda.vsnl.net.in,,Embassy,New Delhi,,
"Nepalese Consulate in Kolkata, India",Nepal,Nepalese,"1, National Library Avenue, , Alipore, Kolkata-700027",0091-33-2456-1103 / 0091-33-2456-1117,0091-33-2456-1410,nepalconsulate@dataone.in,,Consulate,Kolkata,,
"Nepalese Consulate in New Delhi, India",Nepal,Nepalese,"Barakhamba Road,, New Delhi-110001,",91-11-2332 7361 / 91-11-2332 9218,91-11-2332 6857,nepembassydelhi@bol.net.in,,Consulate,New Delhi,,
"Nigerian High Commission in New Delhi, India",Nigeria,Nigerian,"EP-4, Chandragupta Marg, Chanakyapuri, New Delhi 110021, India",(+91) 11 2412 2142 to 4,(+91) 11 2412 2138,"nigeria.new-delhi@foreignaffairs.gov.ng, nhcnder@vsnl.in",http://www.nigeriahcindia.org/,Embassy,New Delhi,09.00-13.00 and 14.00-17.00,"Sola Enikanolaye, High Commissioner"
"Nigerien Embassy in New Delhi, India",Niger,Nigerien,"53 Paschimi Marg or, F-8/22, Munirka Marg, Vasant Vihar, New Delhi 110057, India",(+91) 11 2615 0160 / 1,(+91) 11 2615 0163,ambanigerindia@yahoo.fr,,Embassy,New Delhi,09.00-13.00 and 14.00-17.00,"Mr Ali Illiassou, Ambassador"
No Central African Embassy in India,Central African Republic,Central African,,,,,,,,,There is no Central African dipomatic mission in India.
No Sierra Leonean Embassy in India,Sierra Leone,Sierra Leonean,,,,,,,,,There is no Embassy of Sierra Leone in India.
"Norwegian Consulate in Chennai, India",Norway,Norwegian,"Harbour Gate House,, P.O. Box 1396, 44/45 Rajaji Road","044-2524 5314, 044-2523 2981, 044-2523 2982, 044-2523 2983",044-2523 3235,,http://www.norwayemb.org.in/Embassy/Contact-information/consul/,Consulate,Chennai,,Consul: Mr. Arvind Gopinath
"Norwegian Consulate in Kolkata, India",Norway,Norwegian,"64 Lake Place, 700 029",033-24656280,033-22365890,,http://www.norwayemb.org.in/Embassy/Contact-information/consul/,Consulate,Kolkata,,Consul: Ms. Nayantara Palchoudhuri
"Norwegian Consulate in Mumbai, India",Norway,Norwegian,"301-302 Orbit Plaza,, New Prabhadevi Road,, Behind Chaitanya Towers,, Prabhadevi,  , 400025",(91 22) 24389712 / 9713 / 9717,(91 22) 243897 15,,http://www.norwayemb.org.in/Embassy/Contact-information/consul/,Consulate,Mumbai,,Consul General: Mr. George Mathew
"Norwegian Embassy in New Delhi, India",Norway,Norwegian,"50-C, Shantipath, Chanakyapuri,, 110021",+91-11-4177-9200,+91-11-4161-7815 (for Visa) and +91-11-4168-0145 (,,http://www.norwayemb.org.in/,Embassy,New Delhi,"Monday to Thursday:
8:30 A.M. to 1:00 P.M. and 1:30 P.M. to 4:30 P.M

Friday:
8:30 A.M. to 2:00 P.M.

Business hours start at 9:30 A.M.",H.E. Ms. Ann Ollestad - Ambassador of Norway to India
"Omani Consulate in Mumbai, India",Oman,Omani,"112 Maker Chamber 4, 11Th Floor, P O Box 11655 Nariman Point, Nariman Point, 400021","+91-22-2287-6037, +91-22-2287-6038",009122 2523,"mombay@mofa.gov.om, info@mofa.gov.om",http://www.omanembassy.in/index.asp,Consulate,Mumbai,"Monday-Friday
8:30 a.m. to 5:30 p.m",
"Omani Embassy in New Delhi, India",Oman,Omani,"16, Olao Palme Marg, Vasant Vihar, New Delhi 110057",(+91) 011 6140215,(+91) 11-2688 5621,omandelhi@vsnl.com,,Embassy,New Delhi,09:30-16:00,
"Palestinian Embassy in New Delhi, India",Palestine,Palestinian,"EP, 29-B Diplomatic Enclave, Chanakyapuri, New Delhi- 110 021","9111-24108062, 24108063",9111-24108064,embassy@palestineindia.com   ,,Embassy,New Delhi,10 am to 14 pm,
"Panamanian Embassy in New Delhi, India",Panama,Panamanian,"C -321, Defence Colony, New Delhi 110024",(+91) 11-2433 2684 / 5627,(+91) 11-2433 5631,panaind@bol.net.in ,,Embassy,New Delhi,09.00-16.00,
"Peruvian Consulate in Mumbai, India",Peru,Peruvian,"Ador House 6 K., Dubash Marg, Mumbai, India, -",(+91) (22) 2287 1089,(+91) (22) 2204 3635 or 3625,dubash@dubash.com,http://-,Consulate,Mumbai,09:00 - 14:00,
"Peruvian Embassy in New Delhi, India",Peru,Peruvian,"A-9/5, Bucharest Marg,, Vasant Vihar,, New Delhi 110057",+91-11-46163333; +91-11-46163308,+91-11-46163301,info@embassyperuindia.in,http://www.embassyperuindia.in,Embassy,New Delhi,09.00-13.00 and 14.00-17.00 Monday to Friday,
"Polish Consulate in Mumbai, India",Poland,Polish,"Manavi Apartments, 2nd floor 36, , B. G. Kher Mag, Malabar Hill  400 006",+91.22.2363.3863,+91.22.2363.3863,mumbai@mumbaikg.polemb.net cons@mumbaikg.polemb.net econom@mumbaikg.polemb.net ,http://www.mumbaikg.polemb.net,Consulate,Mumbai,,
"Polish Embassy in New Delhi, India",Poland,Polish,"Chanakyapuri, 50-M Shantipath 110 021",+91.11.4149.6900,5359915-76 20 53 145,newdelhi.polemb.info@msz.gov.pl ,http://www.newdelhi.polemb.net,Embassy,New Delhi,,
"Portuguese Consulate in Goa, India",Portugal,Portuguese,Parwati - houses Nr. 38/39 Father Agnelo Road Altinho/Panjim 403001,+91.832.242.1524,,,,Consulate,Goa,,
"Portuguese Embassy in New Delhi, India",Portugal,Portuguese,"No.4, Panchsheel Marg Chanakyapuri New Delhi 110021, New Delhi 110021",+91.11.2614.1106,+91 11 46071003,embassy@portugal-india.com,http://www.portugal-india.com,Embassy,New Delhi,,
"Qatari Consulate in Mumbai (Bombay), India",Qatar,Qatari,"Bajaj Bhavan, Nariman Point, Mumbai (Bombay) 400021",(+91-22) 2026701,(+91-22) 2023692,mumbai@mofa.gov.qa ; qatarconsulate@yahoo.com,,Consulate,Mumbai (Bombay),09.30-15.30,
"Qatari Embassy in New Delhi, India",Qatar,Qatari,"EP-31A, Chandragupta Marg, Chanakyapuri,, New Delhi-110021",(+91-11) 26118787- 26117988,(+91-11) 26886080,newdelhi@mofa.gov.qa,,Embassy,New Delhi,09.00-16.00,
"Rwandan Embassy in New Delhi, India",Rwanda,Rwandan,"F 33, Radhey Mohan Drive, Mehrauli New Delhi 110 030 India",(+91) (11) 2665 9920 / 30,(+91) (11) 2665 9940 / 50,info@rwanda.in / rwandahighcommission@gmail.com,,Embassy,New Delhi,,
"Saint Lucian Honorary Consulate in New Delhi, India",Saint Lucia,Saint Lucian,"D-3, 5th Floor, District Centre Saket, New Delhi, India","(+91) 11 3912 6275 - 76, (+91) 98 1167 9310",+91-11-39126277,saintluciaindia@gmail.com,www.stluciaindia.com,Consulate,New Delhi,10.00AM to 13.00 PM &14.00 to PM,"Mr Sunil Godhwani, Honorary Consul"
"Senegalese Embassy in New Delhi, India",Senegal,Senegalese,"Pashimi Marg Vasant , Vihar, 80 110057","(+91-11) 26873746, 26873720",(+91-11) 26875809,,,Embassy,New Delhi,,
"Singaporean Consulate in Chennai, India",Singapore,Singaporean,"Consulate of the Republic of Singapore Chennai- 6, 17-A North Boag Road, T.Nagar, Chennai 600017, Tamil Nadu, India",(91) (44) 28158207/28158208,(91) (44) 28158209,singcon_maa@sgmfa.gov.sg,http://www.mfa.gov.sg/chennai,Consulate,Chennai,"Mon - Fri 8.30 am to 1.00 pm; 2.00 pm to 5.00 pm 
Saturday, Sunday and Public Holidays closed

Singaporeans who need urgent consular assistance after office hours should call the duty officer at (91) 9840033136 and they will be re-directed accordingly.",
"Singaporean Consulate in Mumbai, India",Singapore,Singaporean,"Singapore in Mumbai 152, 14th floor, Maker , Chambers IV 222, Jamnalal Bajaj Road , Nariman Point, Mumbai 400-021, India",(91 22) 2204 3205/+91-(22) 2204-3209,(91 22) 2285 5812/+91-(22) 2204-3203 ( Non-Visa Ma,singcon_bom@sgmfa.gov.sg,http://www.mfa.gov.sg/mumbai/,Consulate,Mumbai,"Mon - Fri 9.00 am - 1.00 pm 2.00 pm - 5.00 pm
Closed on Saturday, Sunday and Public Holidays

Singaporeans who require Consular assistance after office hours, please contact the Duty Officer at Tel.No. +91- 98209-79726",
"Singaporean Consulate in New Delhi, India",Singapore,Singaporean,"E-6 Chandragupta Marg , Chanakyapuri , New Delhi 110021",91 (11) 46000915 (Visa and Consular) /91 (11) 46000800 (Administration),91 (11) 4601 6413/91 (11) 4601 6412/91 (11) 3042 0,singhc_del@sgmfa.gov.sg,http://www.mfa.gov.sg/newdelhi,Consulate,New Delhi,"Mon - Fri 8.30 am to 1.00 pm; 1.30 pm to 4.30 pm 

Saturday and Sunday closed","Tel: 001-91-(11) 46000915 (Visa)
001-91-(11) 46000911(Administration)
Fax: 001-91-(11) 46016412 (Visa) ,
001-91-(11) 30420393 (Administration)
Emergency Contact: 001-91-98102-03595"
"Slovak Embassy in New Delhi, India",Slovakia,Slovak,"50M Niti Marg, Chanakyapuri, New Delhi - 110021 India",(+91) 11 2688 9071,(+91) 11 2687 7941,emb.delhi@mzv.sk ,http://www.mzv.sk/Delhi,Embassy,New Delhi,08.00-16.00,
"Slovenian Embassy in New Delhi, India",Slovenia,Slovenian,"46, Poorvi Marg, Vasant Vihar, 110057",+91-11-51662891,+91-11-51662895,vnd@mzz-dkp.sigov.si ,,Embassy,New Delhi,,
"South African Consulate in Mumbai, India",South Africa,South African,"Gandhi Mansion, 20 Altamount Road, Mumbai, 400 026",+ 91 22 23513725; + 91 22 23523726,+ 91 22 23513730; + 91 22 23523735,sacgmumbai@saconsulate.in,,Consulate,Mumbai,,
"South African Consulate in New Delhi, India",South Africa,South African,"B-18, Vasant Marg, Vasant Vihar, New Delhi - 110057, India",91-11-2614 9411 - 20,+91-11-2614 3605,dhc@sahc-india.com saeco@giasd101.vsnl.net.in,,Consulate,New Delhi,"8.30 A.M. to 12.30 P.M.
1.15 P.M. to 5.00 P.M.",
"South Sudanese Embassy in New Delhi, India",South Sudan,South Sudanese,"E-7/2 Vasant Vohar, New Delhi-110057, India",(+91) 11-4956 0000,(+91) 11-4956 0099,embassyssindia@gmail.com,,Embassy,New Delhi,09.00-17.00,"Dr Daniel Peter Othol, Ambassador"
"Spanish Consulate in Bangalore, India",Spain,Spanish,"4, Haudin Road, Near Ulsor Lake Bangalore 560, 042 India",(+91) 80 4152 6640 / 1,,diana@itsmaindia.com,,Consulate,Bangalore,,Ms Surbhi Sharma - Honorary Consul
"Spanish Consulate in Chennai, India",Spain,Spanish,"9, Cathedral Road Chennai,  60000 India",(+91) 44-2812 8800,(+91) 44-2811 7411,spainem@sanmargroup.com,,Consulate,Chennai,,Mr Vijay Sankar - Honorary Consul
"Spanish Consulate in Kolkata, India",Spain,Spanish,"TIL Limited, 1 Taratolla Road , Kolkata 700 024 India",(+91) 33-2469 5954,(+91) 33-2469 1283,avijit.mazumdar@tilindia.com / amazumdar@tilindia.com,,Consulate,Kolkata,,Mr Avijit Mazumdar - Honorary Consul
"Spanish Consulate in Mumbai, India",Spain,Spanish,"Markers Chambers IV, 7th floor 222 Jamnalal Bajaj Road Nariman Point ,  Mumbai 400021 India",(+91) 22-2288 0213 / 19,(+91) 22-2288 0254,cog.mumbai@maec.es / cog.mumbai.vis@maec.es,,Consulate,Mumbai,,Mr Domingo Manso - Consul General
"Spanish Embassy in New Delhi, India",Spain,Spanish,"12, Prithviraj Road, New Delhi 110011, India",(+91) (11) 4129 3000,(+91) (11) 4129 3008 / 3020,emb.nuevadelhi@maec.es,,Embassy,New Delhi,,Mr Gustavo Manuel de Arostegui y San Romon - Ambassador
"Sri Lankan Consulate in Kolkata, India",Sri Lanka,Sri Lankan,"Nicco House 2, Hare Street , Kolkata 700 001 India",(+91) 33-2221 0005,(+91) 33-2248 6414,abhijits@cal2.vsnl.net.in,,Consulate,Kolkata,,
"Sri Lankan Consulate in Mumbai, India",Sri Lanka,Sri Lankan,"Sri Lanka House 34, Homi Mody Street , Mumbai 400 023 India",(+91) 22-2204 5861 / (+91) 22 2204 8303,(+91) 22 2287 6132,slcon@mtnl.net.in,,Consulate,Mumbai,,
"Sri Lankan Embassy in Chennai, India",Sri Lanka,Sri Lankan,"196 T. T. K. Road Alwarpet , Chennai 600018 India",(+91) 44 2498 7896,(+91) 44 2498 7894,sldehico@md3.vsnl.net.in,http://www.sldhcchennai.org,Embassy,Chennai,,
"Sri Lankan Embassy in New Delhi, India",Sri Lanka,Sri Lankan,"Kautilya Marg Chanakyapuri, New Delhi - 110 021 India",(+91) 11 2301 0201 / 2 / 3 (+91) 11 2301 7498,(+91) 11 2379 3604,lankacomnd@bol.net.in,,Embassy,New Delhi,,
"Sudanese Embassy in New Delhi, India",Sudan,Sudanese,"Plot No 3 Shantipath Chanakyapuri , New Delhi 110021 India",(+91) 11-2687 3185 / 3785,(+91) 11-2688 3758,admin@sudanembassyindia.org / visa@sudanembassyindia.org,http://www.sudanembassyindia.org ,Embassy,New Delhi,,
"Surinamese Embassy in New Delhi, India",Suriname,Surinamese,"A15/27, Ground Floor, Vasant Vihar, New Delhi - 110057, India",(+91) 11 - 2615 0153 / 4,(+91) 11 - 2615 0150,amb.india@foreignaffairs.gov.sr,www.surinameembassy.in,Embassy,New Delhi,,"Mrs Aashna Wandani Radha Kanhai, Ambassador"
"Swedish Consulate in Chennai, India",Sweden,Swedish,"6 Cathedral Road , Chennai 600 086 , India",+91 44 2811 2232,+91 44 2811 0294,svensk_chennai94@bsnl.in,,Consulate,Chennai,"Monday-Friday
 10.30-15.00","Honorary Consul:
Mr Arun Vasu"
